Date,Open,High,Low,Close,Adj Close,Volume
2020-11-06,1.020667,1.029915,0.998885,1.025404,1.025404,93236
2020-11-07,1.025404,1.026994,1.025211,1.026715,1.026715,0
2020-11-08,1.026715,1.026922,1.025565,1.025967,1.025967,0
2020-11-09,1.025967,1.026533,1.025617,1.025769,1.025769,0
2020-11-10,1.025769,1.025899,1.000329,1.001127,1.001127,45114
2020-11-11,1.001127,1.005088,0.990756,0.993278,0.993278,1746798
2020-11-12,0.993278,1.001258,0.951743,0.982000,0.982000,2603407
2020-11-13,0.982000,0.999773,0.970960,0.973336,0.973336,2112963
2020-11-14,0.973336,0.998584,0.917948,0.991185,0.991185,2509364
2020-11-15,0.991185,0.999292,0.986762,0.995643,0.995643,3578204
2020-11-16,0.995643,1.000494,0.989348,0.995010,0.995010,4452029
2020-11-17,0.994841,0.997231,0.990613,0.994534,0.994534,3085689
2020-11-18,0.994534,0.994635,0.931851,0.961584,0.961584,2414955
2020-11-19,0.961584,0.994188,0.904243,0.910110,0.910110,2127361
2020-11-20,0.910110,0.990805,0.907824,0.944303,0.944303,1142810
2020-11-21,0.944303,3.897039,0.650585,0.877611,0.877611,1645222
2020-11-22,0.877611,0.914289,0.789275,0.868707,0.868707,1570995
2020-11-23,0.868707,0.897723,0.816464,0.875567,0.875567,1572684
2020-11-24,0.875580,0.992823,0.860530,0.940908,0.940908,1300122
2020-11-25,0.940919,0.979559,0.907738,0.944666,0.944666,1735989
2020-11-26,0.944650,0.959251,0.901422,0.921493,0.921493,1494687
2020-11-27,0.921571,0.962448,0.891641,0.925500,0.925500,1380797
2020-11-28,0.925509,0.930246,0.862544,0.895080,0.895080,1270864
2020-11-29,0.895095,0.988073,0.811517,0.921826,0.921826,1285694
2020-11-30,0.921820,0.979441,0.901375,0.924453,0.924453,1298273
2020-12-01,0.924448,0.950707,0.887775,0.917977,0.917977,1392040
2020-12-02,0.918013,0.919272,0.854473,0.878365,0.878365,1450828
2020-12-03,0.878389,0.922241,0.830669,0.873731,0.873731,1636015
2020-12-04,0.873733,0.920478,0.865819,0.893920,0.893920,319900
2020-12-05,0.893912,0.920381,0.889676,0.897091,0.897091,146953
2020-12-06,0.897088,0.904561,0.841934,0.848906,0.848906,684630
2020-12-07,0.848920,0.913154,0.836341,0.856747,0.856747,991586
2020-12-08,0.856789,0.874612,0.818577,0.832081,0.832081,955219
2020-12-09,0.832055,0.858208,0.731819,0.794136,0.794136,1078722
2020-12-10,0.794104,0.805074,0.781577,0.791648,0.791648,238711
2020-12-11,0.791700,0.791776,0.751882,0.764844,0.764844,324934
2020-12-12,0.764850,0.791843,0.762675,0.780690,0.780690,1304089
2020-12-13,0.780662,0.800085,0.759713,0.800085,0.800085,1141373
2020-12-14,0.800061,0.823428,0.749719,0.749733,0.749733,489666
2020-12-15,0.749749,0.848032,0.684907,0.769929,0.769929,581212
2020-12-16,0.769906,0.789547,0.714720,0.776632,0.776632,591207
2020-12-17,0.776683,0.826012,0.735964,0.779290,0.779290,532837
2020-12-18,0.779274,0.897883,0.771949,0.868374,0.868374,749385
2020-12-19,0.868353,0.959364,0.851355,0.942573,0.942573,956709
2020-12-20,0.942570,0.959506,0.863237,0.922969,0.922969,821134
2020-12-21,0.922970,0.957502,0.770523,0.884555,0.884555,418979
2020-12-22,0.884547,0.932681,0.879806,0.928556,0.928556,156330
2020-12-23,0.928567,0.934152,0.927977,0.933888,0.933888,103559
2020-12-24,0.933864,0.991881,0.922415,0.923401,0.923401,114312
2020-12-25,0.923437,0.958165,0.849344,0.856648,0.856648,337206
2020-12-26,0.856644,0.946411,0.850088,0.938243,0.938243,400195
2020-12-27,0.938272,0.976102,0.867296,0.947713,0.947713,572957
2020-12-28,0.947713,0.948408,0.889902,0.923830,0.923830,456505
2020-12-29,0.923808,0.947500,0.874433,0.895732,0.895732,604208
2020-12-30,0.895735,0.930002,0.871312,0.928756,0.928756,619191
2020-12-31,0.928756,0.930735,0.871032,0.880927,0.880927,586606
2021-01-01,0.880926,0.930551,0.876098,0.884765,0.884765,656018
2021-01-02,0.884792,0.931200,0.877510,0.884786,0.884786,672534
2021-01-03,0.884931,0.929188,0.876831,0.905035,0.905035,574482
2021-01-04,0.905065,0.926062,0.871337,0.894829,0.894829,386419
2021-01-05,0.894814,0.918654,0.863343,0.890753,0.890753,319575
2021-01-06,0.890757,0.908852,0.871661,0.897396,0.897396,182356
2021-01-07,0.897469,0.908027,0.881056,0.892543,0.892543,135495
2021-01-08,0.892557,0.906488,0.865043,0.875514,0.875514,163956
2021-01-09,0.875539,0.884645,0.802127,0.832289,0.832289,142203
2021-01-10,0.832346,0.900438,0.804897,0.860593,0.860593,181114
2021-01-11,0.860592,0.880140,0.842203,0.843574,0.843574,171703
2021-01-12,0.843595,0.853220,0.837678,0.842594,0.842594,91816
2021-01-13,0.842548,0.857473,0.828457,0.841037,0.841037,91915
2021-01-14,0.841015,0.860107,0.833909,0.845739,0.845739,103687
2021-01-15,0.845723,0.854454,0.819860,0.837396,0.837396,157014
2021-01-16,0.837371,0.859229,0.822175,0.845048,0.845048,196234
2021-01-17,0.845065,0.845363,0.802603,0.828286,0.828286,249514
2021-01-18,0.828243,0.856093,0.828243,0.848378,0.848378,200653
2021-01-19,0.848381,0.858392,0.824017,0.828900,0.828900,313091
2021-01-20,0.828861,0.846147,0.819586,0.826861,0.826861,213723
2021-01-21,0.826867,0.830032,0.814036,0.820646,0.820646,219595
2021-01-22,0.820650,0.833525,0.811912,0.820601,0.820601,269591
2021-01-23,0.820506,0.829047,0.808245,0.821766,0.821766,265682
2021-01-24,0.821756,0.826793,0.804908,0.815648,0.815648,349469
2021-01-25,0.815654,0.820553,0.806423,0.811249,0.811249,240000
2021-01-26,0.811276,0.815130,0.794434,0.799871,0.799871,324982
